number.in,interval,ing.plot.area,dbh,n_tree_alive,ba_sum_alive,ba_sum_dead,ba_skew,n_measured_alive,lead_sp,forest,MaT,SDmT,MAXmT,MINmT,MaDR,aTR,ISO,DD0,DD5,DD10,TaP,SDmP,MAXmP,MINmP,TaPET,SDmPET,MAXmPET,MINmPET,TaR,SDmR,MAXmR,MINmR,MwaqT,McoqT,MweqT,MdrqT,MwaqP,McoqP,MweqP,MdrqP,MwaqR,McoqR,MweqR,MdrqR,MwaqPET,McoqPET,MweqPET,MdrqPET,ARi,ThHUi,ThARi,climate.id,RedN,avgDepOxN,avgDepOxS,BDRICM_02_apr_2014,bio_10,bio_1,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,BLD_sd3_M_02_apr_2014,CEC,CLYPPT_sd3_M_02_apr_2014,CRFVOL_sd3_M_02_apr_2014,ORCDRC_sd3_M_02_apr_2014,PHIHOX_sd3_M_02_apr_2014,SLTPPT,SNDPPT_sd3_M_02_apr_2014,var10,var1,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var2,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var3,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var4,var41,var42
21,10.98082,78.53982,50,2673,23327700,0,-0.1808822,21,13,mixed,10.97292,5.78634,19.325,2.466667,7.701389,16.85833,0.4657087,4022.075,3850.5,3074.467,754,32.50308,131.975,19.95833,718.1883,39.50845,121.6325,12.81917,3750.196,198.7735,596.0066,61.63442,17.98611,3.394444,13.51667,8.2,75.54167,61.10833,91.88333,37.30833,519.8405,101.8656,332.2986,320.2046,106.8464,18.24444,67.13944,56.12056,1.055143,125.8333,48.30567,149850,1124.162,766.947,1801.681,240,166,99,30,785,79,48,13,223,163,202,190,70,32,5408,216,0,216,71,57,1291,15,11,6,47,58,23,67,2896,2829,2760,36307,19819,2754,2903,2778,2860,899,8337,785,70,79,48,13,223,163,202,190,65,70,49,32,72,785,541,689,78,11426,4117,41,27,12,5408,116,521
2,11.70411,78.53982,50,2037,38192900,14766800,1.74079,16,19,mixed,10.77949,5.617809,18.86154,2.592308,6.645513,16.26923,0.4148772,3950.023,3750.162,2980.385,805.1769,37.01235,146.5923,20.97692,700.0077,38.4184,116.9392,13.12923,3810.954,210.143,620.2644,58.62108,17.55128,3.535897,13.18462,8.6,79.65897,58.00256,105.3846,36.00769,534.0052,112.2928,318.1671,365.5658,103.4392,19.16769,62.90179,59.26436,1.156225,145.3846,49.02527,149844,1211.195,876.0117,2149.894,240,162,96,32,779,85,45,19,236,149,204,186,63,30,5240,208,3,205,108,50,1318,19,21,4,29,63,33,46,2892,2826,2762,35134,18500,2757,2899,2781,2861,874,8340,779,63,85,45,19,236,149,204,186,58,74,47,30,72,779,511,628,81,12406,3786,48,24,13,5240,115,496
3,7.432877,254.469,50,943,29005463,535000,1.187359,24,10,mixed,10.77407,5.768119,18.94444,2.066667,7.45,16.87778,0.4518137,3950.489,3803.256,3025.756,771.9333,35.01392,139.8444,18.66667,705.61,39.65425,122.0022,12.32222,3764.661,204.7765,618.6029,62.31222,17.5963,3.125926,14.71481,8.281481,76.16296,58.83704,95.86667,37.04444,512.1649,104.1784,368.4558,301.2253,103.113,17.51889,72.50852,52.9663,1.096766,117.1111,50.62678,149902,1508.269,886.3351,1908.052,240,165,98,29,790,79,48,14,222,164,205,191,72,33,5397,215,-2,217,69,55,1327,15,11,6,48,57,27,62,2895,2828,2759,35766,19370,2753,2901,2778,2857,889,8335,790,72,79,48,14,222,164,205,191,66,71,49,33,72,790,544,692,78,11423,4146,41,27,12,5397,116,511
23,7.652055,314.1593,50,732,17587725,0,1.475065,23,10,mixed,10.63519,5.93701,19.1,1.622222,7.951852,17.47778,0.4657698,3904.989,3723.256,3023.678,752.1111,32.36995,128.3667,17.57778,708.2189,40.80811,124.1433,11.06333,3751.562,203.8836,614.9921,61.34611,17.67037,2.781481,13.88519,7.325926,75.55926,57.81852,92.2037,36.64815,524.6897,103.584,359.5749,295.0279,106.0067,16.67333,71.82815,49.77926,1.063655,141.6667,45.32568,149967,1893.855,850.8271,1795.914,240,163,95,26,797,77,48,13,220,165,209,195,74,33,5405,215,-5,220,65,53,1321,16,11,7,47,58,26,62,2893,2825,2756,34712,18585,2751,2898,2777,2852,872,8327,797,74,77,48,13,220,165,209,195,67,72,49,33,73,797,547,697,78,11432,4190,41,27,12,5405,116,515
0,7.449525,78.53982,50,0,0,44821300,0,0,6,mono,10.88958,6.004883,19.375,1.5875,8.09375,17.7875,0.467662,3997.85,3837.25,3099.05,743.4625,32.31199,128.6375,16.075,730.6087,42.03084,127.37,11.54,3751.206,204.4368,614.2396,59.35312,17.9375,2.879167,14.55417,8.791667,77.7625,60.15833,88.72083,38.37083,522.4894,95.70683,392.366,301.2948,108.0429,16.58792,80.63875,54.31417,1.018686,144.375,46.64113,149981,1893.855,850.8271,1795.914,240,164,95,26,800,74,49,12,216,169,209,197,75,33,5454,216,-5,221,65,54,1298,15,11,7,52,56,24,65,2894,2825,2756,34798,18717,2750,2900,2776,2854,874,8326,800,75,74,49,12,216,169,209,197,65,73,50,33,73,800,550,704,78,11391,4241,41,27,12,5454,116,530
9,8.664458,78.53982,50,1145,3947000,35299600,0.6389464,9,10,mixed,10.78667,6.040652,19.46,1.71,8.078333,17.75,0.4654215,3958.71,3778.55,3087.2,738.06,31.02676,123.03,18.62,728.706,41.64889,125.974,11.469,3738.544,202.8835,608.7438,60.0947,17.94,2.856667,14.54333,8.456667,74.77333,57.81333,88.93,37.92333,524.3386,99.50157,378.2572,309.8751,108.6503,17.32367,78.105,55.16667,1.013731,142.4,45.89883,149995,1508.269,886.3351,1908.052,240,164,95,26,800,74,50,12,215,170,211,197,75,33,5451,216,-5,221,65,55,1288,14,10,7,41,57,23,67,2894,2825,2756,34939,18836,2751,2899,2777,2853,877,8327,800,75,74,50,12,215,170,211,197,65,74,51,33,73,800,554,708,78,11292,4259,40,27,12,5451,116,526
0,12.03836,78.53982,50,3310,82719400,0,0.3708601,26,7,mixed,10.65641,5.798394,18.96154,2.207692,6.796154,16.75385,0.4124956,3909.085,3685.792,2938.877,803.3692,36.56861,143.6385,21.38462,694.7385,39.42134,117.2538,10.97308,3749.597,206.8429,608.4476,57.35754,17.61795,3.153846,13.99744,11.04615,80.7359,55.74359,104.7564,35.48718,525.7352,108.6415,355.1934,418.6248,102.6885,17.51051,70.1159,74.0959,1.161135,146.6923,50.62769,150009,1469.163,883.0359,1739.792,240,160,92,26,806,80,46,17,235,155,216,194,72,33,5310,211,-5,216,65,47,1357,15,6,7,62,55,21,73,2890,2822,2756,33713,17648,2752,2896,2779,2852,853,8325,806,72,80,46,17,235,155,216,194,64,77,48,33,77,806,533,668,79,12079,4061,46,25,13,5310,114,508
10,11.68767,254.469,50,1100,17647994,2843272,1.34564,28,6,mixed,10.81603,6.028716,19.45385,1.946154,8.189744,17.50769,0.4763035,3967.515,3766.9,3053.208,744.5154,30.44482,123.0077,18.53077,728.8415,41.69037,124.9631,11.41692,3744.595,201.7644,604.8756,61.16685,18.0641,3.051282,13.2,8.825641,71.53846,61.04103,88.91026,38.62051,528.5706,98.4219,337.9442,332.6956,109.6933,17.02179,69.55205,59.63821,1.024272,164,46.25244,150025,1893.855,850.8271,1795.914,240,163,94,25,803,74,50,12,216,171,211,198,75,34,5451,215,-5,220,38,54,1340,14,12,10,35,56,29,59,2893,2824,2755,34543,18537,2750,2899,2776,2853,870,8325,803,75,74,50,12,216,171,211,198,65,74,51,34,74,803,551,704,78,11406,4244,41,26,12,5451,116,537
4,10.63562,452.3893,50,530,28943212,1241163,1.246705,24,19,mixed,10.65347,5.79254,18.975,2.133333,6.817361,16.84167,0.412148,3908.367,3694.483,2939.258,796.325,36.56109,141.575,20.61667,696.97,39.2744,117.1683,11.05417,3756.737,206.5223,608.2122,56.44325,17.62222,3.055556,13.73056,10.63889,81.51389,55.15556,104.1222,34.71111,523.974,106.4283,347.0281,404.448,102.3122,17.28056,68.56944,71.03556,1.147124,148.5833,49.88215,150042,1469.163,883.0359,1739.792,240,159,92,27,798,80,45,18,234,152,215,192,71,33,5295,210,-4,214,103,47,1327,18,20,4,30,62,33,47,2889,2822,2757,33731,17608,2752,2895,2779,2852,853,8327,798,71,80,45,18,234,152,215,192,63,77,48,33,76,798,530,660,80,12086,4023,45,25,13,5295,114,498
4,10.76164,452.3893,50,552,29353872,1945365,0.2291998,25,6,mixed,10.68194,5.770151,18.975,2.133333,7.607639,16.84167,0.4597206,3917.525,3727.292,2943.092,797.6,35.10121,138.3667,20.79167,683.9342,38.91835,116.3667,11.01167,3730.084,203.2289,603.7515,57.17067,17.63056,3.119444,12.93611,10.68611,80.54722,56.44722,101.775,36.31667,524.7613,106.5248,309.3123,401.374,102.4247,17.6175,60.10417,70.94972,1.170602,131.75,49.13872,150048,1469.163,883.0359,1739.792,240,160,92,25,808,78,48,16,232,158,219,197,76,34,5322,214,-6,220,65,49,1317,16,10,6,58,58,23,67,2890,2822,2755,33887,17881,2751,2896,2779,2848,854,8325,808,76,78,48,16,232,158,219,197,68,76,50,34,78,808,547,693,78,11656,4183,42,26,12,5322,115,513
