plot.id,ing_sp,speciesClassName,n_tree_alive,ba_sum_alive,ba_sum_dead,ba_skew,n_measured_alive,lead_sp,forest,MaT,SDmT,MAXmT,MINmT,MaDR,aTR,ISO,DD0,DD5,DD10,TaP,SDmP,MAXmP,MINmP,TaPET,SDmPET,MAXmPET,MINmPET,TaR,SDmR,MAXmR,MINmR,MwaqT,McoqT,MweqT,MdrqT,MwaqP,McoqP,MweqP,MdrqP,MwaqR,McoqR,MweqR,MdrqR,MwaqPET,McoqPET,MweqPET,MdrqPET,ARi,ThHUi,ThARi,RedN,avgDepOxN,avgDepOxS,BDRICM_02_apr_2014,bio_10,bio_1,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,BLD_sd3_M_02_apr_2014,CEC,CLYPPT_sd3_M_02_apr_2014,CRFVOL_sd3_M_02_apr_2014,ORCDRC_sd3_M_02_apr_2014,PHIHOX_sd3_M_02_apr_2014,SLTPPT,SNDPPT_sd3_M_02_apr_2014,var10,var1,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var2,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var3,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var4,var41,var42
26407,20,short-lived broadleaves,1768,52474027.78,2515902.778,1.659630868,20,8,mixed,10.89074076,5.856119683,19.21111111,2.066666666,7.731481481,17.14444444,0.462539284,3994.277778,3844.977778,3061.1,766.9555556,34.64797793,140.0111111,18.5,715.7266667,39.97612347,124.1611111,12.96,3720.493111,198.923927,597.3471111,62.03677778,17.85555554,3.162962964,14.93333333,7.870370363,78.07037038,59.07777777,94.24444443,38.38148149,513.352037,103.2926296,373.6087038,296.9908888,106.4303703,18.30185187,75.50407403,53.0325926,1.073702343,115,49.1284587,1124.161743,766.9469604,1801.680786,240,167,99,30,781,79,48,13,222,161,202,189,70,32,5413,215,0,215,71,57,1299,16,13,7,45,61,27,59,2897,2829,2760,36370,19873,2754,2903,2778,2860,900,8337,781,70,79,48,13,222,161,202,189,66,70,49,32,71,781,540,685,78,11406,4085,41,27,12,5413,116,518
26407,20,short-lived broadleaves,1768,52474027.78,2515902.778,1.659630868,20,8,mixed,10.89074076,5.856119683,19.21111111,2.066666666,7.731481481,17.14444444,0.462539284,3994.277778,3844.977778,3061.1,766.9555556,34.64797793,140.0111111,18.5,715.7266667,39.97612347,124.1611111,12.96,3720.493111,198.923927,597.3471111,62.03677778,17.85555554,3.162962964,14.93333333,7.870370363,78.07037038,59.07777777,94.24444443,38.38148149,513.352037,103.2926296,373.6087038,296.9908888,106.4303703,18.30185187,75.50407403,53.0325926,1.073702343,115,49.1284587,1124.161743,766.9469604,1801.680786,240,167,99,30,781,79,48,13,222,161,202,189,70,32,5413,215,0,215,71,57,1299,16,13,7,45,61,27,59,2897,2829,2760,36370,19873,2754,2903,2778,2860,900,8337,781,70,79,48,13,222,161,202,189,66,70,49,32,71,781,540,685,78,11406,4085,41,27,12,5413,116,518
26407,20,short-lived broadleaves,1768,52474027.78,2515902.778,1.659630868,20,8,mixed,10.89074076,5.856119683,19.21111111,2.066666666,7.731481481,17.14444444,0.462539284,3994.277778,3844.977778,3061.1,766.9555556,34.64797793,140.0111111,18.5,715.7266667,39.97612347,124.1611111,12.96,3720.493111,198.923927,597.3471111,62.03677778,17.85555554,3.162962964,14.93333333,7.870370363,78.07037038,59.07777777,94.24444443,38.38148149,513.352037,103.2926296,373.6087038,296.9908888,106.4303703,18.30185187,75.50407403,53.0325926,1.073702343,115,49.1284587,1124.161743,766.9469604,1801.680786,240,167,99,30,781,79,48,13,222,161,202,189,70,32,5413,215,0,215,71,57,1299,16,13,7,45,61,27,59,2897,2829,2760,36370,19873,2754,2903,2778,2860,900,8337,781,70,79,48,13,222,161,202,189,66,70,49,32,71,781,540,685,78,11406,4085,41,27,12,5413,116,518
26407,20,short-lived broadleaves,1768,52474027.78,2515902.778,1.659630868,20,8,mixed,10.89074076,5.856119683,19.21111111,2.066666666,7.731481481,17.14444444,0.462539284,3994.277778,3844.977778,3061.1,766.9555556,34.64797793,140.0111111,18.5,715.7266667,39.97612347,124.1611111,12.96,3720.493111,198.923927,597.3471111,62.03677778,17.85555554,3.162962964,14.93333333,7.870370363,78.07037038,59.07777777,94.24444443,38.38148149,513.352037,103.2926296,373.6087038,296.9908888,106.4303703,18.30185187,75.50407403,53.0325926,1.073702343,115,49.1284587,1124.161743,766.9469604,1801.680786,240,167,99,30,781,79,48,13,222,161,202,189,70,32,5413,215,0,215,71,57,1299,16,13,7,45,61,27,59,2897,2829,2760,36370,19873,2754,2903,2778,2860,900,8337,781,70,79,48,13,222,161,202,189,66,70,49,32,71,781,540,685,78,11406,4085,41,27,12,5413,116,518
26407,20,short-lived broadleaves,1768,52474027.78,2515902.778,1.659630868,20,8,mixed,10.89074076,5.856119683,19.21111111,2.066666666,7.731481481,17.14444444,0.462539284,3994.277778,3844.977778,3061.1,766.9555556,34.64797793,140.0111111,18.5,715.7266667,39.97612347,124.1611111,12.96,3720.493111,198.923927,597.3471111,62.03677778,17.85555554,3.162962964,14.93333333,7.870370363,78.07037038,59.07777777,94.24444443,38.38148149,513.352037,103.2926296,373.6087038,296.9908888,106.4303703,18.30185187,75.50407403,53.0325926,1.073702343,115,49.1284587,1124.161743,766.9469604,1801.680786,240,167,99,30,781,79,48,13,222,161,202,189,70,32,5413,215,0,215,71,57,1299,16,13,7,45,61,27,59,2897,2829,2760,36370,19873,2754,2903,2778,2860,900,8337,781,70,79,48,13,222,161,202,189,66,70,49,32,71,781,540,685,78,11406,4085,41,27,12,5413,116,518
27712,19,long-lived broadleaves,1143,38186523.44,1881953.125,1.926030605,23,19,mono,11.00000001,5.794877452,19.35384615,2.553846153,7.607692306,16.8,0.460861212,4031.846154,3855.584615,3073.138462,760.9538462,32.84512106,135.1,20.16153846,716.9661538,39.63276963,121.1753846,12.84230769,3737.775385,199.0375936,595.4006923,61.91176923,18.0128205,3.546153846,13.84615384,8.589743587,74.52820514,61.88974358,92.95384615,37.98717948,521.0448461,104.562359,340.4499744,334.0514871,107.0979487,18.66179488,68.99076921,58.94974359,1.06646591,129.9230769,48.32474928,1124.161743,766.9469604,1801.680786,240,166,99,30,784,80,48,14,223,162,202,190,70,32,5401,215,0,215,71,56,1309,15,12,5,50,58,26,61,2896,2829,2760,36152,19669,2754,2902,2778,2859,896,8337,784,70,80,48,14,223,162,202,190,66,70,49,32,72,784,539,683,78,11447,4075,42,27,12,5401,116,517
27712,19,long-lived broadleaves,1143,38186523.44,1881953.125,1.926030605,23,19,mono,11.00000001,5.794877452,19.35384615,2.553846153,7.607692306,16.8,0.460861212,4031.846154,3855.584615,3073.138462,760.9538462,32.84512106,135.1,20.16153846,716.9661538,39.63276963,121.1753846,12.84230769,3737.775385,199.0375936,595.4006923,61.91176923,18.0128205,3.546153846,13.84615384,8.589743587,74.52820514,61.88974358,92.95384615,37.98717948,521.0448461,104.562359,340.4499744,334.0514871,107.0979487,18.66179488,68.99076921,58.94974359,1.06646591,129.9230769,48.32474928,1124.161743,766.9469604,1801.680786,240,166,99,30,784,80,48,14,223,162,202,190,70,32,5401,215,0,215,71,56,1309,15,12,5,50,58,26,61,2896,2829,2760,36152,19669,2754,2902,2778,2859,896,8337,784,70,80,48,14,223,162,202,190,66,70,49,32,72,784,539,683,78,11447,4075,42,27,12,5401,116,517
27712,19,long-lived broadleaves,1143,38186523.44,1881953.125,1.926030605,23,19,mono,11.00000001,5.794877452,19.35384615,2.553846153,7.607692306,16.8,0.460861212,4031.846154,3855.584615,3073.138462,760.9538462,32.84512106,135.1,20.16153846,716.9661538,39.63276963,121.1753846,12.84230769,3737.775385,199.0375936,595.4006923,61.91176923,18.0128205,3.546153846,13.84615384,8.589743587,74.52820514,61.88974358,92.95384615,37.98717948,521.0448461,104.562359,340.4499744,334.0514871,107.0979487,18.66179488,68.99076921,58.94974359,1.06646591,129.9230769,48.32474928,1124.161743,766.9469604,1801.680786,240,166,99,30,784,80,48,14,223,162,202,190,70,32,5401,215,0,215,71,56,1309,15,12,5,50,58,26,61,2896,2829,2760,36152,19669,2754,2902,2778,2859,896,8337,784,70,80,48,14,223,162,202,190,66,70,49,32,72,784,539,683,78,11447,4075,42,27,12,5401,116,517
27712,19,long-lived broadleaves,1143,38186523.44,1881953.125,1.926030605,23,19,mono,11.00000001,5.794877452,19.35384615,2.553846153,7.607692306,16.8,0.460861212,4031.846154,3855.584615,3073.138462,760.9538462,32.84512106,135.1,20.16153846,716.9661538,39.63276963,121.1753846,12.84230769,3737.775385,199.0375936,595.4006923,61.91176923,18.0128205,3.546153846,13.84615384,8.589743587,74.52820514,61.88974358,92.95384615,37.98717948,521.0448461,104.562359,340.4499744,334.0514871,107.0979487,18.66179488,68.99076921,58.94974359,1.06646591,129.9230769,48.32474928,1124.161743,766.9469604,1801.680786,240,166,99,30,784,80,48,14,223,162,202,190,70,32,5401,215,0,215,71,56,1309,15,12,5,50,58,26,61,2896,2829,2760,36152,19669,2754,2902,2778,2859,896,8337,784,70,80,48,14,223,162,202,190,66,70,49,32,72,784,539,683,78,11447,4075,42,27,12,5401,116,517
27712,19,long-lived broadleaves,1143,38186523.44,1881953.125,1.926030605,23,19,mono,11.00000001,5.794877452,19.35384615,2.553846153,7.607692306,16.8,0.460861212,4031.846154,3855.584615,3073.138462,760.9538462,32.84512106,135.1,20.16153846,716.9661538,39.63276963,121.1753846,12.84230769,3737.775385,199.0375936,595.4006923,61.91176923,18.0128205,3.546153846,13.84615384,8.589743587,74.52820514,61.88974358,92.95384615,37.98717948,521.0448461,104.562359,340.4499744,334.0514871,107.0979487,18.66179488,68.99076921,58.94974359,1.06646591,129.9230769,48.32474928,1124.161743,766.9469604,1801.680786,240,166,99,30,784,80,48,14,223,162,202,190,70,32,5401,215,0,215,71,56,1309,15,12,5,50,58,26,61,2896,2829,2760,36152,19669,2754,2902,2778,2859,896,8337,784,70,80,48,14,223,162,202,190,66,70,49,32,72,784,539,683,78,11447,4075,42,27,12,5401,116,517
